iter	Passed	Remaining
350	58263	74531
351	58475	74423
352	58624	74235
353	58778	74054
354	58947	73892
355	59112	73724
356	59277	73557
357	59461	73413
358	59667	73295
359	59792	73079
360	59957	72912
361	60111	72731
362	60267	72552
363	60490	72456
364	60706	72348
365	60911	72227
366	61152	72150
367	61342	72011
368	61571	71916
369	61763	71778
370	62012	71707
371	62207	71572
372	62411	71446
373	62617	71323
374	62817	71193
375	62994	71036
376	63197	70908
377	63398	70777
378	63587	70633
379	63814	70531
380	63980	70361
381	64192	70241
382	64369	70084
383	64588	69970
384	64786	69835
385	64980	69694
386	65215	69596
387	65426	69473
388	65631	69342
389	65833	69209
390	66054	69095
391	66269	68974
392	66467	68835
393	66700	68732
394	66929	68623
395	67154	68511
396	67336	68353
397	67532	68211
398	67699	68038
